a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240722.0-1
accountsservice 23.13.9-2
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 46.2-1
adwaita-icon-theme 46.2-1
adwaita-icon-theme-legacy 46.2-1
alacritty 0.13.2-2
alsa-card-profiles 1:1.2.2-1
alsa-lib 1.2.12-1
alsa-plugins 1:1.2.12-3
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.12-1
alsa-utils 1.2.12-1
aom 3.9.1-1
apache 2.4.62-1
appstream 1.0.3-1
appstream-qt 1.0.3-1
appstream-qt5 1.0.3-1
apr 1.7.4-1
apr-util 1.6.3-1
arandr 0.1.11-3
archlinux-keyring 20240709-1
argon2 20190702-6
aribb24 1.0.3-4
at-spi2-core 2.52.0-1
atkmm 2.28.4-1
attica 6.4.0-1
attica5 5.116.0-1
attr 2.5.2-1
audacity 1:3.6.1-2
audit 4.0.2-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-2
awesome 4.3-4
awesome-terminal-fonts 1.1.0-5
babl 0.1.108-1
base 3-2
base-devel 1-1
bash 5.2.032-1
bashtop 0.9.25-2
bc 1.07.1-5
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-6
blas 3.12.0-5
bluez-libs 5.77-1
boost-libs 1.83.0-9
breeze 6.1.4-1
breeze-icons 6.4.0-1
bridge-utils 1.7.1-2
brightnessctl 0.5.1-3
brotli 1.1.0-2
bzip2 1.0.8-6
c-ares 1.33.0-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.103-1
ca-certificates-utils 20240618-1
cairo 1.18.0-2
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-2
cblas 3.12.0-5
cdparanoia 10.2-9
chromium 127.0.6533.119-1
cifs-utils 7.0-4
code 1.92.1-1
containerd 1.7.20-1
coreutils 9.5-1
cryptsetup 2.7.4-1
curl 8.9.1-2
dav1d 1.4.3-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-4
dbus-broker-units 36-4
dbus-python 1.3.2-3
dconf 0.40.0-3
debugedit 5.0-6
default-cursors 2-2
desktop-file-utils 0.27-1
device-mapper 2.03.25-2
diffutils 3.10-1
dmenu 5.3-3
docker 1:27.1.1-1
docker-compose 2.29.1-1
double-conversion 3.3.0-2
duktape 2.7.0-7
dunst 1.11.0-1
dzen2 0.9.5.14.488ab66-3
e2fsprogs 1.47.1-4
editorconfig-core-c 0.12.9-1
electron28 28.3.3-2
electron30 30.3.1-1
ell 0.67-1
enchant 2.8.0-1
exiv2 0.28.3-1
expat 2.6.2-1
faad2 2.11.1-1
fakeroot 1.35-1
feh 3.10.3-1
ffmpeg 2:7.0.1-2
ffmpeg4.4 4.4.4-6
fftw 3.3.10-7
file 5.45-1
filesystem 2024.04.07-1
findutils 4.10.0-1
firefox 129.0.1-2
flac 1.4.3-2
flex 2.6.4-5
fontconfig 2:2.15.0-2
frameworkintegration 6.4.0-1
frameworkintegration5 5.116.0-1
freeglut 3.6.0-1
freetype2 2.13.3-1
fribidi 1.0.15-1
fuse-common 3.16.2-1
fuse3 3.16.2-1
galculator 2.1.4-9
gawk 5.3.0-1
gc 8.2.6-1
gcc 14.2.1+r32+geccf707e5ce-1
gcc-libs 14.2.1+r32+geccf707e5ce-1
gcr-4 4.3.0-1
gdbm 1.24-1
gdk-pixbuf2 2.42.12-1
gegl 0.4.48-4
geoclue 2.7.1-3
gettext 0.22.5-1
ghc 9.2.8-1
ghc-libs 9.2.8-1
ghc-static 9.2.8-1
ghostscript 10.03.1-1
giflib 5.2.2-1
gimp 2.10.38-1
git 2.46.0-1
glib-networking 1:2.80.0-3
glib2 2.80.4-1
glibc 2.40+r16+gaa533d58ff-2
glibmm 2.66.7-1
glslang 14.2.0-1
glu 9.0.3-2
gmp 6.3.0-2
gnu-free-fonts 20120503-8
gnupg 2.4.5-4
gnutls 3.8.6-1
gobject-introspection-runtime 1.80.1-3
gperftools 2.15-1
gpgme 1.23.2-6
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-1
graphicsmagick 1.3.43-1
graphite 1:1.3.14-4
grep 3.11-1
groff 1.23.0-6
grub 2:2.12-2
gsettings-desktop-schemas 46.1-2
gsettings-system-schemas 46.1-2
gsfonts 20200910-4
gsl 2.8-1
gsm 1.0.22-2
gspell 1.12.2-3
gssdp 1.6.3-1
gst-plugin-pipewire 1:1.2.2-1
gst-plugins-bad-libs 1.24.6-1
gst-plugins-base 1.24.6-1
gst-plugins-base-libs 1.24.6-1
gstreamer 1.24.6-1
gtest 1.15.2-1
gtk-update-icon-cache 1:4.14.4-2
gtk2 2.24.33-4
gtk3 1:3.24.43-1
gtkmm3 3.24.9-1
gtksourceview4 4.8.4-1
guile 3.0.10-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gzip 1.13-4
harfbuzz 9.0.0-1
haskell-adjunctions 4.4.2-96
haskell-aeson 2.1.2.1-49
haskell-alsa-core 0.5.0.1-18
haskell-alsa-mixer 0.3.0.1-1
haskell-appar 0.1.8-14
haskell-asn1-encoding 0.9.6-230
haskell-asn1-parse 0.9.5-230
haskell-asn1-types 0.3.4-209
haskell-assoc 1.0.2-270
haskell-async 2.2.5-27
haskell-attoparsec 0.14.4-74
haskell-attoparsec-aeson 2.1.0.0-33
haskell-base-compat 0.12.2-2
haskell-base-compat-batteries 0.12.2-83
haskell-base-orphans 0.8.8.2-13
haskell-base64-bytestring 1.2.1.0-104
haskell-basement 0.0.16-2
haskell-bifunctors 5.6-81
haskell-bitvec 1.1.3.0-96
haskell-blaze-builder 0.4.2.3-2
haskell-blaze-html 0.9.1.2-226
haskell-blaze-markup 0.8.3.0-10
haskell-byteorder 1.0.4-25
haskell-cairo 0.13.10.0-2
haskell-call-stack 0.4.0-184
haskell-case-insensitive 1.2.1.0-203
haskell-cereal 0.5.8.3-2
haskell-clock 0.8.4-4
haskell-colour 2.3.6-210
haskell-comonad 5.0.8-265
haskell-conduit 1.3.5-55
haskell-conduit-extra 1.3.6-136
haskell-contravariant 1.5.5-4
haskell-cookie 0.4.6-2
haskell-crypton 0.34-11
haskell-crypton-connection 0.3.2-8
haskell-crypton-x509 1.7.6-28
haskell-crypton-x509-store 1.6.9-28
haskell-crypton-x509-system 1.6.7-28
haskell-crypton-x509-validation 1.6.12-28
haskell-data-array-byte 0.1.0.1-55
haskell-data-default-class 0.1.2.0-25
haskell-data-fix 0.3.2-102
haskell-dbus 1.3.1-17
haskell-distributive 0.6.2.1-209
haskell-dlist 1.0-241
haskell-erf 2.0.0.0-25
haskell-extensible-exceptions 0.1.1.4-37
haskell-extra 1.7.14-40
haskell-foldable1-classes-compat 0.1-81
haskell-free 5.1.10-72
haskell-generically 0.1.1-2
haskell-ghc-bignum-orphans 0.1.1-2
haskell-glib 0.13.10.0-13
haskell-hashable 1.4.3.0-46
haskell-hinotify 0.4.1-171
haskell-hourglass 0.2.12-246
haskell-http 4000.4.1-198
haskell-http-client 0.7.15-25
haskell-http-client-tls 0.3.6.3-60
haskell-http-conduit 2.3.8.3-58
haskell-http-types 0.12.4-8
haskell-indexed-traversable 0.1.3-73
haskell-indexed-traversable-instances 0.1.1.2-46
haskell-integer-logarithms 1.0.3.1-7
haskell-invariant 0.6.3-8
haskell-iproute 1.7.12-82
haskell-kan-extensions 5.2.6-6
haskell-lens 5.2.3-45
haskell-libmpd 0.10.0.0-154
haskell-memory 0.18.0-8
haskell-mime-types 0.1.2.0-2
haskell-monad-loops 0.4.3-26
haskell-mono-traversable 1.0.17.0-10
haskell-netlink 1.1.1.0-15
haskell-network 3.1.4.0-20
haskell-network-uri 2.6.4.2-31
haskell-old-locale 1.0.0.7-31
haskell-old-time 1.1.0.4-2
haskell-onetuple 0.4.1-2
haskell-pango 0.13.8.2-74
haskell-parallel 3.2.2.0-18
haskell-parsec-numbers 0.1.0-19
haskell-pem 0.2.4-286
haskell-pretty-hex 1.1-10
haskell-primitive 0.7.4.0-111
haskell-profunctors 5.6.2-175
haskell-quickcheck 2.14.3-64
haskell-random 1.2.1.2-8
haskell-reflection 2.1.7-24
haskell-regex-base 0.94.0.2-3
haskell-regex-compat 0.95.2.1-7
haskell-regex-posix 0.96.0.1-4
haskell-resourcet 1.2.6-51
haskell-safe-exceptions 0.1.7.4-21
haskell-scientific 0.3.7.0-113
haskell-semialign 1.2.0.1-162
haskell-semigroupoids 5.3.7-144
haskell-setlocale 1.0.0.10-5
haskell-socks 0.6.1-237
haskell-split 0.2.5-6
haskell-splitmix 0.1.0.5-22
haskell-statevar 1.2.2-3
haskell-streaming-commons 0.2.2.6-26
haskell-strict 0.4.0.1-244
haskell-tagged 0.8.8-2
haskell-text-short 0.1.5-79
haskell-th-abstraction 0.4.5.0-2
haskell-th-compat 0.1.5-2
haskell-th-lift 0.8.4-2
haskell-these 1.1.1.1-271
haskell-time-compat 1.9.6.1-97
haskell-timezone-olson 0.2.1-2
haskell-timezone-series 0.1.13-2
haskell-tls 1.8.0-29
haskell-transformers-base 0.4.6-102
haskell-transformers-compat 0.7.2-2
haskell-typed-process 0.2.11.1-15
haskell-unix-time 0.4.13-1
haskell-unliftio-core 0.2.1.0-2
haskell-unordered-containers 0.2.20-18
haskell-utf8-string 1.0.2-150
haskell-uuid-types 1.0.5.1-16
haskell-vector 0.13.1.0-31
haskell-vector-algorithms 0.9.0.2-5
haskell-vector-stream 0.1.0.1-2
haskell-void 0.7.3-203
haskell-witherable 0.4.2-103
haskell-x11 1.10.3-2
haskell-x11-xft 0.3.4-68
haskell-xml-conduit 1.9.1.3-55
haskell-xml-types 0.3.8-9
haskell-zlib 0.6.3.0-60
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
htop 3.3.0-3
hunspell 1.7.2-2
hwdata 0.385-1
iana-etc 20240612-1
icu 75.1-1
ijs 0.35-6
imath 3.1.11-2
imlib2 1.12.3-1
inkscape 1.3.2-9
intel-gmmlib 22.3.20-1
intel-media-driver 24.2.5-1
intel-ucode 20240813-1
iproute2 6.10.0-2
iptables 1:1.8.10-2
iputils 20240117-1
iso-codes 4.16.0-1
iwd 2.19-1
